name,description,life_max,life_min,male_weight_max,male_weight_min,female_weight_max,female_weight_min,hypoallergenic
Affenpinscher,"The Affenpinscher is a small and playful breed of dog that was originally bred in Germany for hunting small game. They are intelligent, energetic, and affectionate, and make excellent companion dogs.",16,14,5,3,5,3,True
Afghan Hound,"The Afghan Hound is a large and elegant breed of dog that was originally bred in Afghanistan for hunting small game. They are intelligent, independent, and athletic, and make excellent companion dogs.",14,12,27,23,25,20,False
Airedale Terrier,"The Airedale Terrier is a large and powerful breed of dog that was originally bred in England for hunting small game. They are intelligent, energetic, and determined, and make excellent hunting dogs.",14,12,23,20,20,18,False
Akita,"The Akita is a large, muscular dog breed that originated in Japan. They are known for their loyalty and courage.",12,10,60,35,50,35,False
Alaskan Klee Kai,The Alaskan Klee Kai is a small to medium-sized breed of dog that was developed in Alaska in the 1970s. It is an active and intelligent breed that is loyal and friendly. The Alaskan Klee Kai stands between 13-17 inches at the shoulder and has a double-coat that can come in various colors and patterns.,15,12,7,6,7,6,False
Alaskan Malamute,"The Alaskan Malamute is a large and powerful sled dog from Alaska. They are strong and hardworking, yet friendly and loyal. Alaskan Malamutes have a thick, double coat that can be any color. They are active and require plenty of exercise and mental stimulation to stay healthy and happy.",15,12,39,34,34,25,False
American Bulldog,"The American Bulldog is a large and powerful breed of dog that was originally bred in the United States for working on farms. They are intelligent, loyal, and protective, and make excellent guard dogs.",14,12,50,25,45,25,False
American English Coonhound,"The American English Coonhound is a large and athletic breed of dog that was originally bred in the United States for hunting raccoons. They are intelligent, energetic, and determined, and make excellent hunting dogs.",14,12,30,20,30,20,False
American Eskimo Dog,"The American Eskimo Dog is a small to medium-sized breed with a thick, fluffy coat that comes in white, cream, or biscuit colors. It is known for its intelligence and its ability to learn a wide variety of tricks.",15,12,20,9,20,9,False
American Foxhound,"The American Foxhound is a large and athletic breed of dog that was originally bred in the United States for hunting foxes. They are intelligent, energetic, and determined, and make excellent hunting dogs.",15,12,34,20,34,20,False
American Hairless Terrier,"The American Hairless Terrier is a small to medium-sized breed of terrier that originated in the United States. It is the hairless variety of the Rat Terrier, and was developed by breeding selectively for the gene that causes the hairlessness. The Hairless variety is considered to have a more mellow and laid-back temperament than its coated counterpart, and is an active and intelligent breed that loves to please and stay busy. The breed stands between 12-16 inches at the shoulder and comes in a variety of colors.",14,12,7,6,7,6,False
American Leopard Hound,"The American Leopard Hound is a large, athletic dog breed that was originally bred for hunting. They are known for their spotted coats and keen sense of smell.",15,12,40,30,35,25,False
American Staffordshire Terrier,"The American Staffordshire Terrier is a medium-sized breed of dog that was originally bred for dog fighting. They are intelligent, loyal, and protective, and make excellent family pets.",14,12,40,18,40,18,False
American Water Spaniel,"The American Water Spaniel is a medium-sized breed of dog that was originally bred in the United States for hunting waterfowl. They are intelligent, energetic, and eager to please, and make excellent hunting dogs.",14,12,20,15,20,15,False
Anatolian Shepherd Dog,"The Anatolian Shepherd Dog is a large breed of flock guardian dog that originated in Turkey. It is a powerful and athletic breed, with a long, coarse coat. Its head is large and round, with small, erect ears. Its legs are strong and muscular, and its tail is usually docked. The Anatolian Shepherd Dog is an intelligent and loyal breed, and it makes an excellent family pet. It is an active breed, and it needs plenty of exercise and mental stimulation. It is loyal and affectionate, and it enjoys spending time with its family.",14,12,70,50,70,50,False
Appenzeller Sennenhund,"The Appenzeller Sennenhund is a large breed of mountain dog that originated in Switzerland. It is a powerful and athletic breed, with a thick, double coat. Its head is large and round, with small, erect ears. Its legs are strong and muscular, and its tail is usually docked. The Appenzeller Sennenhund is an intelligent and loyal breed, and it makes an excellent family pet. It is an active breed, and it needs plenty of exercise and mental stimulation. It is loyal and affectionate, and it enjoys spending time with its family.",15,12,45,30,45,30,False
Australian Cattle Dog,"The Australian Cattle Dog is a medium-sized breed of dog that was originally bred in Australia for herding and guarding livestock. They are intelligent, energetic, and hardworking, and make excellent working dogs.",15,12,20,16,20,16,False
Australian Kelpie,"The Australian Kelpie is a lively and intelligent herding dog from Australia. They are active, friendly, and loyal, and make great family pets. Australian Kelpies have a thick, double coat that can be any color. They are easy to train and require plenty of exercise and mental stimulation to stay healthy and happy.",14,12,20,16,20,16,False
Australian Shepherd,"The Australian Shepherd is a medium-sized breed with a medium-length, double coat. They have a wedge-shaped head and a muscular body, with a straight, medium-length tail. The Australian Shepherd is an intelligent working dog that is eager to please and loves to be around its family. They are known for their loyalty and are often used in agility, obedience, and herding events.",15,12,30,20,25,17,False
Australian Stumpy Tail Cattle Dog,"The Australian Stumpy Tail Cattle Dog is a medium-sized herding dog breed with a distinctive stumpy tail and a smooth, dense coat that can be blue, red, or fawn in color. They are intelligent, energetic, and obedient, and were originally bred to help farmers drive their cattle over long distances.",15,12,20,15,20,15,False
Australian Terrier,"The Australian Terrier is a small breed of terrier that originated in Australia. It is a compact and lively breed, with a short, wiry coat. Its head is large and round, with small, erect ears. Its legs are short and strong, and its tail is usually docked. The Australian Terrier is an intelligent and loyal breed, and it makes an excellent family pet. It is an active breed, and it needs regular exercise and mental stimulation. It is loyal and affectionate, and it enjoys spending time with its family.",16,14,6,4,6,4,False
Azawakh,"The Azawakh is a small and slender breed of dog that was originally bred in Africa for hunting and guarding. They are intelligent, alert, and athletic, and make excellent companion dogs.",14,12,30,25,30,25,False
Barbado da Terceira,"The Barbado da Terceira is a large, working breed of dog that originated in the Azores. It is a strong and powerful breed, with a short, wiry coat. Its head is large and round, with small, erect ears. Its legs are strong and muscular, and its tail is usually docked. The Barbado da Terceira is an intelligent and loyal breed, and it makes an excellent family pet. It is an active breed, and it needs plenty of exercise and mental stimulation. It is loyal and affectionate, and it enjoys spending time with its family.",15,12,20,15,20,15,False
Barbet,"The Barbet is an ancient breed of French water dog. They are active, friendly, and highly intelligent, and make great family pets. Barbets have a unique, woolly coat that is curly or wavy and can be any color. They have webbed feet, and are very good swimmers. Barbets bond closely with their family, and do best in homes where they get plenty of attention and exercise.",14,12,30,20,30,20,False
Basenji,"The Basenji is a small and agile breed of dog that was originally bred in Africa for hunting small game. They are intelligent, independent, and alert, and make excellent companion dogs.",16,14,10,9,10,9,False
Basset Fauve de Bretagne,"The Basset Fauve de Bretagne is a small and playful breed of dog that was originally bred in France for hunting small game. They are intelligent, affectionate, and loyal, and make excellent companion dogs.",15,12,25,20,25,20,False
Basset Hound,"The Basset Hound is a small and playful breed of dog that was originally bred in France for hunting small game. They are intelligent, affectionate, and loyal, and make excellent companion dogs.",14,12,29,20,29,20,False
Bavarian Mountain Scent Houn,"The Bavarian Mountain Scent Hound is a medium-sized breed of dog that was originally bred in Germany for hunting small game. They are intelligent, energetic, and determined, and make excellent hunting dogs.",15,12,30,20,30,20,False
Beagle,The Beagle is a small to medium-sized dog breed that was originally bred for hunting. They are known for their cheerful dispositions and keen sense of smell.,15,12,11,9,11,9,False
Bearded Collie,"The Bearded Collie is a medium-sized herding dog with a shaggy, thick double coat and a distinctive ""beard"" around the face.",14,12,25,20,25,20,False
Beauceron,"The Beauceron is a large and powerful breed of dog that was originally bred in France for herding and guarding livestock. They are intelligent, loyal, and protective, and make excellent working dogs.",14,12,30,25,30,25,False
Bedlington Terrier,"The Bedlington Terrier is a small and athletic breed of dog that was originally bred in England for hunting small game. They are intelligent, playful, and affectionate, and make excellent companion dogs.",14,12,9,7,9,7,False
Belgian Laekenois,"The Belgian Laekenois is a strong and agile breed with a wiry, rough coat. They have a powerful, muscular frame and a large, rectangular head with medium-sized eyes. The Belgian Laekenois is an intelligent and alert breed with an independent and lively nature. They are a loyal and devoted companion for families and are known for their protective nature and courage.",15,12,30,25,30,25,False
Belgian Malinois,"The Belgian Malinois is a medium-sized herding breed that originated in Belgium. It is an active and intelligent breed that is loyal and devoted to its family. The Belgian Malinois stands between 22-26 inches at the shoulder and has a short, dense coat that can come in various colors and patterns.",14,12,30,25,25,20,False
Belgian Sheepdog,"The Belgian Sheepdog is a large and intelligent breed of dog that was originally bred in Belgium for herding and guarding livestock. They are loyal, protective, and hardworking, and make excellent working dogs.",14,12,30,25,30,25,False
Belgian Tervuren,"The Belgian Tervuren is a medium-sized breed of herding dog from Belgium. These dogs are medium in size, with a thick double coat of fur to protect them from the cold. They have an energetic and intelligent demeanor, with an instinct for herding and working. They are highly trainable and obedient, but require firm and consistent training to be obedient. They are loyal and devoted to their family, with an independent nature that makes them well suited for herding and guard work.",15,12,25,20,25,20,False
Bergamasco Sheepdog,"The Bergamasco Sheepdog is a large breed of herding dog from the Bergamasco region of Italy. These dogs are large in size, with a thick and shaggy coat of fur. They have a dignified and loyal demeanor, making them excellent guard and companion dogs. They are highly intelligent and trainable, with an instinct to herd and protect their family and property. They are courageous and alert, with an independent nature that makes them well suited for herding and guard work.",15,12,45,25,45,25,False
Berger Picard,"The Berger Picard is a medium-sized breed of dog that was originally bred in France for herding and guarding livestock. They are intelligent, loyal, and protective, and make excellent working dogs.",14,12,25,20,25,20,False
Bernese Mountain Dog,"The Bernese Mountain Dog is a large, sturdy dog breed with a thick, silky coat, often black, white, and rust in color. Originally bred to herd cattle and pull carts in the Swiss mountains, they are known for their intelligence, strength, and agility.",10,8,70,45,70,45,False
Bichon Frise,"The Bichon Frise is a small and playful breed of dog that was originally bred in France as a companion dog. They are intelligent, affectionate, and loyal, and make excellent family pets.",16,14,5,3,5,3,True
Biewer Terrier,"The Biewer Terrier is a small and playful breed of dog that was originally bred in Germany for hunting small game. They are intelligent, affectionate, and loyal, and make excellent companion dogs.",16,14,3,2,3,2,False
Black and Tan Coonhound,"The Black and Tan Coonhound is a large and muscular breed of dog that was originally bred for hunting raccoons. They are intelligent, energetic, and determined, and make excellent hunting dogs.",15,12,30,20,30,20,False
Black Russian Terrier,"The Black Russian Terrier is a large and powerful breed of dog that was originally bred in Russia for guarding and protecting property. They are intelligent, loyal, and protective, and make excellent guard dogs.",12,10,60,40,60,40,False
Bloodhound,"The Bloodhound is a large scent hound, bred for tracking and hunting humans or animals by their scent.",12,10,54,36,54,36,False
Bluetick Coonhound,"The Bluetick Coonhound is a large and athletic breed of dog that was originally bred in the United States for hunting raccoons. They are intelligent, energetic, and determined, and make excellent hunting dogs.",14,12,30,20,30,20,False
Boerboel,"The Boerboel is a large, powerful and confident mastiff-type breed from South Africa, known for its loyalty, strength, and protective instincts.",12,10,80,50,80,50,False
Bohemian Shepherd,The Bohemian Shepherd is a medium-sized herding breed that originated in the Czech Republic. It is an active and intelligent breed that is loyal and friendly. The Bohemian Shepherd stands between 17-21 inches at the shoulder and has a medium-length coat that can come in various colors and patterns.,14,12,30,20,30,20,False
Bolognese,"The Bolognese is a small and playful breed of dog that was originally bred in Italy as a companion dog. They are intelligent, affectionate, and loyal, and make excellent family pets.",16,14,7,4,7,4,False
Border Collie,"The Border Collie is a medium-sized breed of herding dog from the borders of England and Scotland. These dogs are medium in size, with a thick double coat of fur to protect them from the cold. They have an energetic and intelligent demeanor, with an instinct for herding and working. They are highly trainable and obedient, but require firm and consistent training to be obedient. They are loyal and devoted to their family, with an independent nature that makes them well suited for herding and guard work.",16,12,30,20,25,17,False
Border Terrier,"The Border Terrier is a small and energetic breed of dog that was originally bred in England for hunting small game. They are intelligent, playful, and affectionate, and make excellent companion dogs.",16,14,8,6,8,6,False
Borzoi,"The Borzoi is a large and athletic breed of dog that was originally bred in Russia for hunting wolves and other large game. They are intelligent, independent, and graceful, and make excellent companion dogs.",12,10,45,30,35,25,False
Boston Terrier,"The Boston Terrier is a small, intelligent dog breed that originated in the United States. They are known for their friendly dispositions and distinctive black and white coats.",14,12,11,5,11,5,False
Bouvier des Flandres,"The Bouvier des Flandres is a large and powerful breed of dog from the Flanders region of Belgium. These dogs are very large in size, with a thick double coat of wire-haired fur. They have a dignified but energetic demeanor, making them excellent working dogs. They are highly intelligent and trainable, with an instinct to protect their family and property. They are brave and loyal, with an independent nature that makes them well suited for herding and guard work.",14,10,40,30,35,25,False
Boxer,"The Boxer is a large and muscular breed of dog that was originally bred in Germany for guarding and protecting property. They are intelligent, loyal, and protective, and make excellent guard dogs.",12,10,32,25,29,20,False
Boykin Spaniel,"The Boykin Spaniel is a medium-sized breed of dog that was originally bred in the United States for hunting waterfowl. They are intelligent, friendly, and eager to please, and make excellent hunting dogs.",15,12,16,15,16,15,False
Bracco Italiano,"The Bracco Italiano is a large breed of gun dog that originated in Italy. It is a powerful and athletic breed, with a long, wiry coat. Its head is large and round, with small, erect ears. Its legs are strong and muscular, and its tail is usually docked. The Bracco Italiano is an intelligent and loyal breed, and it makes an excellent family pet. It is an active breed, and it needs plenty of exercise and mental stimulation. It is loyal and affectionate, and it enjoys spending time with its family.",14,12,30,25,30,25,False
Braque du Bourbonnais,"The Braque du Bourbonnais is a medium-sized breed of hunting dog from the Bourbonnais region of France. These dogs are medium in size, with a short and wiry coat of fur. They have a friendly and energetic demeanor, with an instinct for hunting. They are highly intelligent and trainable, but require firm and consistent training to be obedient. They are loyal and devoted to their family, but can be stubborn and independent at times.",15,12,30,20,30,20,False
Braque Francais Pyrenean,"The Braque Francais Pyrenean is a medium-sized, versatile breed that is known for its intelligence, trainability, and love of the outdoors. This breed is native to the Pyrenees Mountains in France, where it was originally used for hunting and pointing game.",14,12,30,20,30,20,False
Briard,"The Briard is a large, muscular breed with a long, shaggy coat that is typically black, tawny, or gray. It is known for its loyalty and protective instincts.",12,10,40,30,35,25,False
Brittany,"The Brittany is a medium-sized breed with a short, dense coat and a muscular, athletic build. It is known for its high energy level and its ability to excel in a variety of activities, including hunting, agility, and obedience.",14,12,25,17,25,17,False
Broholmer,"The Broholmer is a large, powerful dog breed that was originally bred in Denmark for hunting.",10,8,30,20,30,20,False
Brussels Griffon,"The Brussels Griffon is a small, playful breed that is known for its intelligence, comical expression, and affectionate nature. This breed is native to Belgium, where it was originally kept as a companion and lapdog.",15,12,4,2,4,2,False
Bulldog,"Bulldogs are a strong, stocky breed with a short, smooth coat. They have a wide head and a thick neck, with a short muzzle and deep-set eyes with a determined, friendly expression. Bulldogs are known for their courage and tenacity and are a popular pet thanks to their even temperament and friendly, loyal nature.",10,8,25,20,25,20,False
Bullmastiff,"The Bullmastiff is a large and powerful breed of dog that was originally bred in England for guarding and protecting property. They are intelligent, loyal, and protective, and make excellent guard dogs.",10,8,59,50,54,45,False
Bull Terrier,The Bull Terrier is a medium-sized breed of terrier that was developed in the 19th century in England. It is an active and energetic breed that is loyal and friendly. The Bull Terrier stands between 18-22 inches at the shoulder and has a short and dense coat that can come in various colors.,15,12,22,18,20,16,False
Cairn Terrier,"The Cairn Terrier is a small and energetic breed of dog that was originally bred in Scotland for hunting small game. They are intelligent, playful, and affectionate, and make excellent companion dogs.",16,14,6,5,6,5,False
Canaan Dog,"The Canaan Dog is a medium-sized, athletic breed that is known for its intelligence, trainability, and alertness. This breed is native to the Middle East, where it was originally used for herding and guarding.",14,12,20,15,20,15,False
Cane Corso,"The Cane Corso is a large and powerful breed of dog that was originally bred in Italy for guarding and protecting property. They are intelligent, loyal, and protective, and make excellent guard dogs.",12,10,50,40,45,35,False
Cardigan Welsh Corgi,"The Cardigan Welsh Corgi is a medium-sized herding breed of dog that originated in Wales. It is one of two breeds known as Welsh Corgi, the other being the Pembroke Welsh Corgi. Cardigans are known for their long, low-set bodies and short legs. They have strong bodies, with a deep chest and strong legs. They have a medium-length tail that is usually docked, and their coat is long and dense. Cardigans have a friendly and cheerful personality, and they make excellent family dogs. They are loyal and intelligent, and they enjoy being active.",15,12,15,10,14,10,False
Carolina Dog,"The Carolina Dog is a medium-sized breed of dog that originated in the United States. It is an active and energetic breed, with a short, smooth coat. Its head is large and round, with small, erect ears. Its legs are strong and muscular, and its tail is usually docked. The Carolina Dog is an intelligent and loyal breed, and it makes an excellent family pet. It is an active breed, and it needs plenty of exercise and mental stimulation. It is loyal and affectionate, and it enjoys spending time with its family.",14,12,14,9,14,9,False
Catahoula Leopard Dog,"The Catahoula Leopard Dog is a large and powerful breed of dog that was originally bred in the United States for herding and guarding livestock. They are intelligent, loyal, and protective, and make excellent working dogs.",14,12,32,16,32,16,False
Caucasian Shepherd Dog,"The Caucasian Shepherd Dog is a large and powerful breed of dog from the Caucasus Mountains region. These dogs are large in size, with a thick double coat to protect them from the cold. They have a regal bearing, with a proud and confident demeanor. They are highly intelligent and loyal, making them excellent guard dogs. They are courageous and alert, with an instinct to protect their family and property. They are highly trainable, but require firm and consistent training.",20,15,90,50,70,45,False
Cavalier King Charles Spaniel,"The Cavalier King Charles Spaniel is a small breed that originated in the United Kingdom. They have a long, silky coat, and come in a variety of colors. They are a gentle and loving breed, and make good family companions. They are an active breed, and need plenty of exercise and stimulation. They are also very loyal and devoted to their owners.",15,12,8,5,8,5,False
Central Asian Shepherd Dog,"The Central Asian Shepherd Dog is a large, powerful breed that is known for its intelligence, loyalty, and protectiveness. This breed is native to Central Asia, where it was originally used to guard flocks of sheep and protect families and their homes.",14,12,90,50,70,45,False
Cesky Terrier,"The Cesky Terrier is a small, sturdy breed that is known for its intelligence, playfulness, and loyalty. This breed is native to the Czech Republic, where it was originally used to hunt small game and vermin.",14,12,8,6,8,6,False
Chesapeake Bay Retriever,"The Chesapeake Bay Retriever is a large and muscular breed of dog that was originally bred in the United States for retrieving waterfowl. They are intelligent, friendly, and eager to please, and make excellent hunting dogs.",14,12,36,25,36,25,False
Chihuahua,"The Chihuahua is a small, energetic breed that is known for its intelligence, loyalty, and big personality. This breed is native to Mexico, where it was originally kept as a companion and lapdog.",16,14,3,1,3,1,False
Chinese Crested,"The Chinese Crested is a small, hairless breed that is known for its delicate appearance and playful personality.",16,14,5,3,5,3,True
Chinese Shar-Pei,"The Chinese Shar-Pei is a large and muscular breed of dog that was originally bred in China for guarding and protecting property. They are intelligent, loyal, and protective, and make excellent guard dogs.",14,12,25,20,25,20,False
Chinook,"The Chinook is a large and powerful breed of dog that was originally bred in the United States for sledding and guarding. They are intelligent, loyal, and hardworking, and make excellent working dogs.",14,12,29,23,29,23,False
Chow Chow,"The Chow Chow is a medium-sized breed of dog that originated in China. It is an independent and loyal breed that is known for its distinctive blue-black tongue. The Chow Chow stands between 17-20 inches at the shoulder and has a dense, long coat that can come in various colors.",15,12,32,20,32,20,False
Cirneco dell'Etna,"The Cirneco dell'Etna is a small and slender breed of dog that was originally bred in Sicily for hunting rabbits. They are intelligent, energetic, and independent, and make excellent companion dogs.",14,12,14,10,14,10,False
Clumber Spaniel,"The Clumber Spaniel is a large, affectionate and gentle gun dog. It is an ancient breed, first developed in the English county of Clumber in the 1700s. Clumbers are known for their thick white coat, which is usually double-coated, and is relatively low-maintenance. They make excellent family pets, but they also excel in the field as hunting dogs. Clumbers can be very sensitive and they do not respond well to harsh treatment. They are loyal and devoted to their family and are usually good with children.",14,12,32,27,32,27,False
Cocker Spaniel,"The Cocker Spaniel is a medium-sized breed of dog that was originally bred in England for flushing and retrieving game. They are intelligent, friendly, and eager to please, and make excellent hunting dogs.",15,12,15,11,12,9,False
Collie,"The Collie is a medium-sized herding breed that originated in Scotland. It is an active and intelligent breed that is loyal and devoted to its family. The Collie stands between 22-26 inches at the shoulder and has a long, dense coat that can come in various colors and patterns.",14,12,30,20,30,20,False
Coton de Tulear,"The Coton de Tulear is a small, fluffy breed with a cotton-like coat that is soft and hypoallergenic. It is known for its friendly and playful personality.",15,12,6,4,6,4,False
Croatian Sheepdog,"The Croatian Sheepdog is a medium-sized breed of dog that was originally bred in Croatia for herding and guarding livestock. They are intelligent, loyal, and protective, and make excellent working dogs.",15,12,22,18,22,18,False
Curly-Coated Retriever,"The Curly-Coated Retriever is a large breed of retrieving dog from England. These dogs are large in size, with a curly coat of fur. They have a dignified and energetic demeanor, making them excellent working dogs. They are highly intelligent and trainable, with an instinct to retrieve game. They are loyal and devoted to their family, with an independent nature that makes them well suited for retrieving and guard work.",14,12,34,27,32,25,False
Czechoslovakian Vlcak,"The Czechoslovakian Vlcak is an intelligent and alert breed with an athletic build and a thick, coarse coat. They are an intelligent and highly trainable working dog that is used in many different roles, including as a guard dog, search and rescue, and police dog. The Czech Vlcak is also known for its outstanding loyalty and devotion to its owners.",14,12,30,20,30,20,False
Dachshund,"The Dachshund is a small and playful breed of dog that was originally bred in Germany for hunting small game. They are intelligent, independent, and affectionate, and make excellent companion dogs.",15,12,9,5,9,5,False
Dalmatian,"The Dalmatian is a medium-sized breed that originated in Croatia. They have a short, dense coat, and come in a variety of colors. They are an active and energetic breed, and need plenty of exercise and mental stimulation. They are loyal and devoted to their owners, and make good family companions.",13,11,32,25,32,25,False
Dandie Dinmont Terrier,"The Dandie Dinmont Terrier is a small and playful breed of dog that was originally bred in Scotland for hunting small game. They are intelligent, independent, and affectionate, and make excellent companion dogs.",14,12,11,8,11,8,False
Danish-Swedish Farmdog,"The Danish-Swedish Farmdog is a small, energetic herding breed with a short, smooth coat and a keen intelligence.",14,12,15,10,15,10,False
