name,description,life_max,life_min,male_weight_max,male_weight_min,female_weight_max,female_weight_min,hypoallergenic
Deutscher Wachtelhund,"The Deutscher Wachtelhund is a versatile gundog from Germany. They are strong, lively, and intelligent, and make excellent hunting and family companions. Deutscher Wachtelhunds have a short, dense coat that is usually black and white in color. They are active and require plenty of exercise and mental stimulation to remain healthy and happy.",14,12,20,15,20,15,False
Doberman Pinscher,"The Doberman Pinscher is a large and powerful breed of dog that was originally bred in Germany for guarding and protecting property. They are intelligent, loyal, and protective, and make excellent guard dogs.",13,10,40,30,35,25,False
Dogo Argentino,"The Dogo Argentino is a large breed of dog that originated in Argentina. It is a powerful and athletic breed, with a short, white coat. Its head is large and round, with small, erect ears. Its legs are strong and muscular, and its tail is usually docked. The Dogo Argentino is an intelligent and loyal breed, and it makes an excellent family pet. It is an active breed, and it needs plenty of exercise and mental stimulation. It is loyal and affectionate, and it enjoys spending time with its family.",12,10,45,40,45,40,False
Dogue de Bordeaux,"The Dogue de Bordeaux is a large breed of dog that originated in France. It is a powerful and athletic breed, with a short, smooth coat. Its head is large and round, with small, erect ears. Its legs are strong and muscular, and its tail is usually docked. The Dogue de Bordeaux is an intelligent and loyal breed, and it makes an excellent family pet. It is an active breed, and it needs plenty of exercise and mental stimulation. It is loyal and affectionate, and it enjoys spending time with its family.",10,8,70,50,70,50,False
Drentsche Patrijshond,"The Drentsche Patrijshond is a medium-sized breed of dog that was originally bred in the Netherlands for hunting small game. They are intelligent, energetic, and determined, and make excellent hunting dogs.",14,12,22,16,22,16,False
Drever,"The Drever is a small and agile breed of dog that was originally bred in Sweden for hunting small game. They are intelligent, energetic, and determined, and make excellent hunting dogs.",14,12,15,10,15,10,False
Dutch Shepherd,"The Dutch Shepherd is a medium-sized, athletic breed that is known for its intelligence, loyalty, and trainability. This breed is native to the Netherlands, where it was originally used as a herding and guarding dog.",14,12,40,30,35,25,False
English Cocker Spaniel,"The English Cocker Spaniel is a medium-sized breed of dog that was originally bred in England for hunting small game. They are intelligent, friendly, and eager to please, and make excellent hunting dogs.",14,12,16,14,16,14,False
English Foxhound,"The English Foxhound is a medium-sized hound breed that was historically used for hunting foxes. It is an active and energetic breed that is friendly and even-tempered, and is considered to be a very intelligent and obedient breed. The English Foxhound stands between 21-25 inches at the shoulder and has a short to medium-length coat that can come in a variety of colors.",15,12,29,25,27,22,False
English Setter,"The English Setter is a large, gentle breed of gundog with a distinctive silky, wavy coat and a calm, intelligent disposition.",14,12,30,20,30,20,False
English Springer Spaniel,"The English Springer Spaniel is a medium-sized breed of dog that was originally bred in England for flushing and retrieving game. They are intelligent, energetic, and eager to please, and make excellent hunting dogs.",14,12,17,15,17,15,False
English Toy Spaniel,"The English Toy Spaniel is a small and playful breed of dog that was originally bred in England as a companion dog. They are intelligent, affectionate, and loyal, and make excellent family pets.",16,14,5,3,5,3,False
Entlebucher Mountain Dog,The Entlebucher Mountain Dog is a medium-sized dog breed that originated in Switzerland. They are known for their intelligence and loyalty.,14,12,30,20,30,20,False
Estrela Mountain Dog,"The Estrela Mountain Dog is a large breed of dog that originated in Portugal. It is a powerful and athletic breed, with a thick, double coat. Its head is large and round, with small, erect ears. Its legs are strong and muscular, and its tail is usually docked. The Estrela Mountain Dog is an intelligent and loyal breed, and it makes an excellent family pet. It is an active breed, and it needs plenty of exercise and mental stimulation. It is loyal and affectionate, and it enjoys spending time with its family.",14,12,60,30,50,25,False
Eurasier,"The Eurasier is a medium-sized breed of dog that was originally bred in Germany as a companion dog. They are intelligent, loyal, and affectionate, and make excellent family pets.",15,12,30,20,30,20,False
Field Spaniel,"The Field Spaniel is a medium-sized, athletic breed that is known for its intelligence, trainability, and love of water. This breed is native to England, where it was originally used for hunting and flushing game.",14,12,18,16,18,16,False
Finnish Lapphund,"The Finnish Lapphund is a medium-sized dog breed that originated in Finland. They are known for their thick, double coats and friendly personalities.",14,12,20,15,20,15,False
Finnish Spitz,"The Finnish Spitz is a small and agile breed of dog that was originally bred in Finland for hunting small game. They are intelligent, energetic, and determined, and make excellent hunting dogs.",16,14,16,10,16,10,False
Flat-Coated Retriever,"The Flat-Coated Retriever is a large breed of retrieving dog from England. These dogs are large in size, with a flat and glossy coat of fur. They have a lively and affectionate demeanor, making them excellent companion and working dogs. They are highly trainable and intelligent, with an instinct to retrieve game. They are loyal and devoted to their family, with an independent nature that makes them well suited for retrieving and guard work.",12,10,34,27,32,25,False
French Bulldog,"The French Bulldog is a small and playful breed of dog that was originally bred in France as a companion dog. They are intelligent, affectionate, and loyal, and make excellent family pets.",12,10,14,11,14,11,False
French Spaniel,"The French Spaniel is a medium-sized gun dog that originated in France. It is a strong and powerful breed, with a short, smooth coat. Its head is large, with a long muzzle and large, floppy ears. Its legs are strong and muscular, and its tail is usually docked. The French Spaniel is an intelligent and loyal breed, and it makes an excellent family pet. It is an active breed, and it needs plenty of exercise and mental stimulation. It is loyal and affectionate, and it enjoys spending time with its family.",15,12,30,20,30,20,False
German Longhaired Pointer,"The German Longhaired Pointer is a medium-sized breed that originated in Germany. They have a thick, wavy coat, and come in a variety of colors. They are an active breed, and need plenty of exercise and mental stimulation. They are loyal and devoted to their owners, and make good family companions.",14,12,32,27,32,27,False
German Pinscher,"The German Pinscher is a medium-sized, energetic and intelligent breed of dog with a short, smooth coat and a sleek, athletic build.",15,12,15,10,15,10,False
German Shepherd Dog,"The German Shepherd Dog is a large breed that originated in Germany in the late 19th century. They are a working breed, and can be used for a variety of tasks, from herding and guarding to search and rescue. They have a thick double coat, in a variety of colors, and are highly intelligent and loyal. They are an active breed, and need plenty of exercise and mental stimulation.",13,9,40,30,32,22,False
German Shorthaired Pointer,The German Shorthaired Pointer is a medium to large-sized dog breed that was originally bred for hunting. They are known for their intelligence and energetic personalities.,14,12,30,20,30,20,False
German Spitz,"The German Spitz is a small to medium-sized dog breed that originated in Germany. They are known for their thick, fluffy coats and playful personalities.",16,14,7,3,7,3,False
German Wirehaired Pointer,"The German Wirehaired Pointer is a strong, medium-sized breed that originated in Germany in the late 19th century. They are a versatile hunting breed, able to work in all sorts of terrain, from water to mountains. They have a wiry coat that is dense and weather-resistant, and with a distinctive facial mask. They are an active breed, with a lot of energy and an eagerness to please. They are loyal and make good family companions.",14,12,32,25,32,25,False
Giant Schnauzer,"The Giant Schnauzer is a large breed of working dog that originated in Germany. It is a powerful and athletic breed, with a thick, wiry coat. Its head is large and round, with small, erect ears. Its legs are strong and muscular, and its tail is usually docked. The Giant Schnauzer is an intelligent and loyal breed, and it makes an excellent family pet. It is an active breed, and it needs plenty of exercise and mental stimulation. It is loyal and affectionate, and it enjoys spending time with its family.",14,12,70,45,70,45,False
Glen of Imaal Terrier,"The Glen of Imaal Terrier is a small to medium-sized terrier that was historically used for hunting small game. It is an active and intelligent breed that is loyal and friendly. The Glen of Imaal Terrier stands between 12-14 inches at the shoulder and has a long, wiry coat that can come in various colors.",14,12,16,14,16,14,False
Golden Retriever,"The Golden Retriever is a large and muscular breed of dog that was originally bred in Scotland for retrieving game. They are intelligent, friendly, and eager to please, and make excellent family pets.",14,12,34,29,32,25,False
Gordon Setter,"The Gordon Setter is a large and athletic breed of dog that was originally bred for hunting. They are intelligent, energetic, and eager to please, and make excellent companion dogs.",14,12,32,25,32,25,False
Grand Basset Griffon Vendéen,"The Grand Basset Griffon Vendéen is a medium-sized breed of scent hound from the Vendéen region of France. These dogs are medium in size, with a long and wiry coat of fur. They have an energetic and cheerful demeanor, with an instinct for hunting and tracking. They are highly trainable and intelligent, but require firm and consistent training to be obedient. They are loyal and devoted to their family, but can be stubborn and independent at times.",15,12,30,20,30,20,False
Great Dane,"The Great Dane is a large and powerful breed of dog that was originally bred in Germany for hunting large game. They are intelligent, loyal, and gentle, and make excellent companion dogs.",10,8,54,45,54,45,False
Greater Swiss Mountain Dog,"The Greater Swiss Mountain Dog is a large and powerful breed of dog that was originally bred in Switzerland for herding and guarding livestock. They are intelligent, loyal, and hardworking, and make excellent working dogs.",10,8,70,50,60,45,False
Great Pyrenees,"The Great Pyrenees is a large and powerful breed of dog that was originally bred in the Pyrenees Mountains for herding and guarding livestock. They are intelligent, loyal, and protective, and make excellent working dogs.",12,10,45,35,45,35,False
Greyhound,"The Greyhound is a sleek, athletic breed that is known for its speed, grace, and endurance. This breed is native to the British Isles, where it was originally used for coursing game and racing.",12,10,40,25,40,25,False
Hamiltonstovare,"The Hamiltonstovare is a medium-sized gundog from Sweden. They are friendly, loyal, and intelligent, and make great family pets. Hamiltonstovares have a thick, double coat that can be black and white, or golden and white in color. They are active and require plenty of exercise and mental stimulation to stay healthy and happy.",14,12,25,20,25,20,False
Hanoverian Scenthound,"The Hanoverian Scenthound is a medium-sized breed of scent hound from the Hanover region of Germany. These dogs are medium in size, with a short and wiry coat of fur. They have a friendly and energetic demeanor, with an instinct for hunting and tracking. They are highly intelligent and trainable, but require firm and consistent training to be obedient. They are loyal and devoted to their family, but can be stubborn and independent at times.",14,12,25,20,25,20,False
Harrier,"The Harrier is a medium-sized hound breed that was historically used for hunting hares and other small game. It is believed to have descended from a combination of Foxhound, Greyhound, and other hound breeds. The Harrier is an active and energetic breed with a friendly, even temperament and is typically very eager to please. It stands between 19-21 inches at the shoulder, is typically tri-colored, and has a dense, medium-length coat.",15,12,25,20,25,20,False
Havanese,"The Havanese is a small and playful breed of dog that was originally bred in Cuba as a companion dog. They are intelligent, affectionate, and loyal, and make excellent family pets.",16,14,5,3,5,3,False
Hokkaido,"The Hokkaido is a medium-sized breed of dog from the island of Hokkaido in Japan. These dogs are medium in size, with a thick double coat of fur to protect them from the cold. They have a dignified and loyal demeanor, making them excellent guard and companion dogs. They are intelligent and trainable, but require firm and consistent training to be obedient. They are brave and alert, with an instinct to protect their family and property.",15,12,30,20,30,20,False
Hovawart,"The Hovawart is a large and powerful breed of dog that was originally bred in Germany for guarding and protecting property. They are intelligent, loyal, and protective, and make excellent guard dogs.",14,12,45,30,40,25,False
Ibizan Hound,"The Ibizan Hound is a medium-sized hunting dog from the Balearic Islands of Spain. They are active, friendly, and intelligent, and make great family pets. Ibizan Hounds have a short, glossy coat that is usually white with red or chestnut markings. They are active and require plenty of exercise and mental stimulation to stay healthy and happy.",15,12,25,20,25,20,False
Icelandic Sheepdog,"The Icelandic Sheepdog is a small and energetic breed of dog that was originally bred in Iceland for herding and guarding livestock. They are intelligent, loyal, and hardworking, and make excellent working dogs.",16,14,20,14,20,14,False
Irish Red and White Setter,"The Irish Red and White Setter is a medium-sized breed of dog that was originally bred in Ireland for hunting small game. They are intelligent, energetic, and determined, and make excellent hunting dogs.",14,12,32,25,32,25,False
Irish Setter,"The Irish Setter is a medium-sized breed of dog that was originally bred for hunting. They are friendly, energetic, and intelligent, and make excellent companion dogs.",14,12,32,25,32,25,False
Irish Terrier,"The Irish Terrier is a medium-sized, energetic breed that is known for its intelligence, courage, and loyalty. This breed is native to Ireland, where it was originally used to hunt small game and vermin.",15,12,9,7,9,7,False
Irish Water Spaniel,"The Irish Water Spaniel is a large breed of retrieving dog from Ireland. These dogs are large in size, with a long and wavy coat of fur. They have a lively and energetic demeanor, making them excellent working dogs. They are highly trainable and intelligent, with an instinct to retrieve game. They are loyal and devoted to their family, with an independent nature that makes them well suited for retrieving and guard work.",14,12,32,25,32,25,True
Irish Wolfhound,"The Irish Wolfhound is a large and muscular breed of dog that was originally bred for hunting wolves. They are gentle, intelligent, and loyal, and make excellent family pets.",8,6,90,45,90,45,False
Italian Greyhound,"The Italian Greyhound is a small and slender breed of dog that was originally bred for hunting small game. They are gentle, intelligent, and affectionate, and make excellent companion dogs.",16,14,5,3,5,3,True
Jagdterrier,"The Jagdterrier is a small and agile breed of dog that was originally bred in Germany for hunting small game. They are intelligent, energetic, and determined, and make excellent hunting dogs.",15,12,10,7,10,7,False
Japanese Akitainu,"The Japanese Akitainu is a large and powerful breed of dog that was originally developed in Japan for dog fighting. They are intelligent, loyal, and protective, and make excellent guard dogs.",15,12,50,35,45,30,False
Japanese Chin,"The Japanese Chin is a small, elegant dog breed with a distinctive, wedge-shaped head and a long, silky coat that can be black, white, or red in color. They are known for their friendly, playful nature and their agility, and were originally bred as companions for the aristocracy in Japan.",14,12,4,2,4,2,False
Japanese Spitz,"The Japanese Spitz is a small, active breed with a long, fluffy coat. They have a triangular head and medium-sized, dark eyes with a friendly expression that is often described as “smiling.” The Japanese Spitz is an intelligent, loyal breed that loves to be around its family and is known for its affectionate nature.",15,12,7,5,7,5,False
Japanese Terrier,"The Japanese Terrier is a small breed of terrier from Japan. These dogs are small in size, with a short and wiry coat of fur. They have a lively and energetic demeanor, with an instinct for hunting. They are highly intelligent and trainable, but require firm and consistent training to be obedient. They are loyal and devoted to their family, with an independent nature that makes them well suited for herding and guard work.",20,15,4,2,4,2,False
Jindo,"The Jindo is a medium-sized breed of dog that was originally bred in Korea for hunting and guarding. They are intelligent, independent, and alert, and make excellent companion dogs.",15,12,15,10,15,10,False
Kai Ken,"The Kai Ken is a medium-sized dog breed with a distinctive brindle coat and a strong, muscular build. They are intelligent, loyal, and alert, and were originally bred for hunting game in the mountains of Japan.",15,12,20,15,20,15,False
Karelian Bear Dog,"The Karelian Bear Dog is a medium-sized breed that originated in Finland. They have a thick, double coat, and come in a variety of colors. They are an active and energetic breed, and need plenty of exercise and mental stimulation. They are loyal and devoted to their owners, and make good family companions. They are also excellent guard dogs, and are known for their bravery and courage.",15,12,30,20,30,20,False
Keeshond,"The Keeshond is a medium-sized breed of dog that was originally bred in the Netherlands for guarding and protecting property. They are intelligent, friendly, and playful, and make excellent companion dogs.",15,12,18,13,18,13,False
Kerry Blue Terrier,"The Kerry Blue Terrier is a medium-sized terrier breed that was developed in Ireland. It is an active and intelligent breed that is loyal and devoted to its family. The Kerry Blue Terrier stands between 17-19 inches at the shoulder and has a long, wavy coat that can come in various colors.",14,12,17,13,17,13,True
Kishu Ken,"The Kishu Ken is a medium-sized breed of dog that was originally bred in Japan for hunting small game. They are intelligent, independent, and alert, and make excellent hunting dogs.",15,12,30,20,30,20,False
Komondor,"The Komondor is a large, imposing breed that is known for its distinctive white, corded coat and its independent, protective nature. This breed is native to Hungary, where it was originally used to guard flocks of sheep and cattle.",12,10,70,50,60,45,False
Kromfohrlander,"The Kromfohrlander is a small to medium-sized breed of dog that originated in Germany. It is an active and energetic breed that is intelligent, loyal, and friendly. The Kromfohrlander stands between 14-19 inches at the shoulder and has a short, wiry coat that comes in various colors and patterns.",14,12,6,5,6,5,False
Kuvasz,"The Kuvasz is a large, muscular breed that was originally bred to protect livestock. It is intelligent and loyal, but can be reserved with strangers.",14,12,50,35,45,30,False
Labrador Retriever,"The Labrador Retriever is a large and muscular breed of dog that was originally bred in Canada for retrieving game. They are intelligent, friendly, and eager to please, and make excellent family pets.",14,12,32,25,32,25,False
Lagotto Romagnolo,"The Lagotto Romagnolo is a small and agile breed of dog that was originally bred in Italy for hunting small game. They are intelligent, energetic, and determined, and make excellent hunting dogs.",15,12,20,14,20,14,False
Lakeland Terrier,"The Lakeland Terrier is a small, agile terrier breed with a wiry, weather-resistant coat and a distinctive plumed tail.",15,12,9,7,9,7,False
Lancashire Heeler,The Lancashire Heeler is a small to medium-sized breed of dog that was developed in England. It is an active and intelligent breed that is loyal and friendly. The Lancashire Heeler stands between 11-13 inches at the shoulder and has a short and dense coat that comes in various colors and patterns.,15,12,11,8,11,8,False
Lapponian Herder,"The Lapponian Herder is a small to medium-sized, spitz-type herding dog native to Finland.",14,12,20,15,20,15,False
Leonberger,"The Leonberger is a large and powerful breed of dog that was originally bred in Germany for working on farms. They are intelligent, gentle, and loyal, and make excellent family pets.",10,8,80,70,65,55,False
Lhasa Apso,"The Lhasa Apso is a small and playful breed of dog that was originally bred in Tibet as a companion dog. They are intelligent, independent, and affectionate, and make excellent family pets.",16,14,30,20,30,20,False
Löwchen,"The Löwchen is a small, active breed with a short, wavy coat. They have a small, wedge-shaped head with large, dark eyes and a lively expression. The Löwchen is a playful, loyal breed that loves to be around its family and is known for its eagerness to please and its lively, friendly nature.",15,12,7,5,7,5,False
Maltese,"The Maltese is a small, elegant breed with a long, silky coat. They have a round head with a short muzzle and large, black eyes with a gentle expression. The Maltese is an affectionate, happy breed that loves to be around its family and is known for its gentle and playful nature.",14,12,4,3,4,3,True
Manchester Terrier (Standard),"The Manchester Terrier (Standard) is a small, lively terrier breed from England. They are active and energetic, but also loyal and affectionate. Manchester Terriers have a sleek, short-haired coat that is usually black-and-tan in color. They are intelligent, easy to train, and make great family pets.",15,12,7,6,7,6,False
Manchester Terrier (Toy),"The Manchester Terrier (Toy) is a small, energetic breed that was originally bred to hunt rats.",15,12,5,3,5,3,False
Mastiff,"The Mastiff is a large and powerful breed of dog that was originally bred for guarding and protecting property. They are intelligent, loyal, and protective, and make excellent guard dogs.",8,6,90,50,70,45,False
Miniature American Shepherd,"The Miniature American Shepherd is a small and energetic breed of dog that was originally bred in the United States for herding and guarding livestock. They are intelligent, loyal, and hardworking, and make excellent working dogs.",14,12,14,7,14,7,False
Miniature Bull Terrier,"The Miniature Bull Terrier is a small and energetic breed of dog that was originally bred in England for bull baiting. They are intelligent, playful, and affectionate, and make excellent companion dogs.",15,12,14,8,14,8,False
Miniature Pinscher,"The Miniature Pinscher is a small breed of dog that originated in Germany. It is a compact and lively breed, with a short, smooth coat. Its head is large and round, with small, erect ears. Its legs are short and strong, and its tail is usually docked. The Miniature Pinscher is an intelligent and loyal breed, and it makes an excellent family pet. It is an active breed, and it needs regular exercise and mental stimulation. It is loyal and affectionate, and it enjoys being around its family.",16,14,4,2,4,2,True
Miniature Schnauzer,"The Miniature Schnauzer is a small breed that originated in Germany in the late 19th century. They have a double coat of wiry fur, and come in a variety of colors. They are an intelligent and active breed, and make good family companions. They are alert, and make good watchdogs, and are loyal and devoted to their owners.",15,12,7,5,7,5,True
Mountain Cur,"The Mountain Cur is a large and powerful breed of dog that was originally bred in the United States for hunting and guarding. They are intelligent, loyal, and protective, and make excellent working dogs.",15,12,30,20,30,20,False
Mudi,The Mudi is a small to medium-sized dog breed that originated in Hungary. They are known for their intelligence and versatility.,15,12,15,10,15,10,False
Neapolitan Mastiff,"The Neapolitan Mastiff is a large, powerful breed with a short, thick coat. They have a large, rectangular head and a massive, muscular body, with a deep, broad chest and a thick, powerful neck. The Neapolitan Mastiff is a loyal and devoted breed, with a quiet, even temperament and a strong protective instinct.",11,9,70,50,60,45,False
Nederlandse Kooikerhondje,"The Nederlandse Kooikerhondje is a small and energetic breed of dog that was originally bred in the Netherlands for duck hunting. They are intelligent, playful, and affectionate, and make excellent companion dogs.",15,12,15,10,15,10,False
Newfoundland,"The Newfoundland is a large and muscular breed of dog that was originally bred for working on boats and in the water. They are gentle and intelligent, and make excellent family pets.",10,8,70,45,70,45,False
Norfolk Terrier,"The Norfolk Terrier is a small and energetic breed of dog that was originally bred in England for hunting small game. They are intelligent, playful, and affectionate, and make excellent companion dogs.",15,12,6,5,6,5,False
Norrbottenspets,"The Norrbottenspets is a small and playful breed of dog that was originally bred in Sweden for hunting small game. They are intelligent, energetic, and affectionate, and make excellent companion dogs.",15,12,10,8,10,8,False
Norwegian Buhund,"The Norwegian Buhund is a medium-sized breed of dog that was originally bred in Norway for herding and guarding livestock. They are intelligent, friendly, and energetic, and make excellent working dogs.",14,12,16,14,16,14,False
Norwegian Elkhound,"The Norwegian Elkhound is an ancient breed of Spitz-type hunting and guard dog from Norway. They are strong and powerful, yet friendly and loyal. Norwegian Elkhounds have a thick, double coat with a long, profuse undercoat and a short, thick outer coat. They come in various colors, including black and grey. They are independent and intelligent, and make great family pets.",15,12,25,20,23,18,False
Norwegian Lundehund,"The Norwegian Lundehund is a small and agile breed of dog that was originally bred in Norway for hunting puffins. They are intelligent, playful, and energetic, and make excellent companion dogs.",15,12,9,7,8,6,False
Norwich Terrier,"The Norwich Terrier is a small breed of dog that originated in England. It is a compact and lively breed, with a short, wiry coat. Its head is large and round, with small, erect ears. Its legs are short and strong, and its tail is usually docked. The Norwich Terrier is an intelligent and friendly breed, and it makes a great family pet. It is an active breed, and it needs regular exercise and mental stimulation. It is loyal and affectionate, and it enjoys being around its family.",15,12,6,5,6,5,False
Nova Scotia Duck Tolling Retriever,"The Nova Scotia Duck Tolling Retriever is a medium-sized breed of gun dog that originated in Nova Scotia. It is an active and energetic breed, with a short, wavy coat. Its head is large and round, with small, erect ears. Its legs are strong and muscular, and its tail is usually docked. The Nova Scotia Duck Tolling Retriever is an intelligent and loyal breed, and it makes an excellent family pet. It is an active breed, and it needs plenty of exercise and mental stimulation. It is loyal and affectionate, and it enjoys spending time with its family.",14,12,16,13,16,13,False
Old English Sheepdog,"The Old English Sheepdog is a large breed of herding dog from England. These dogs are large in size, with a thick double coat of fur to protect them from the cold. They have a gentle and affectionate demeanor, making them excellent companion and working dogs. They are highly trainable and intelligent, with an instinct to herd and protect their family and property. They are loyal and devoted to their family, with an independent nature that makes them well suited for herding and guard work.",12,10,50,40,45,35,False
Otterhound,"The Otterhound is a large and athletic breed of dog that was originally bred in England for hunting otters. They are intelligent, playful, and affectionate, and make excellent companion dogs.",10,8,45,30,45,30,False
Papillon,"The Papillon is a small toy breed that originated in France. It is an active and intelligent breed that is friendly and outgoing. The Papillon stands between 8-11 inches at the shoulder and has a long, silky coat that can come in various colors and patterns.",15,12,4,3,4,3,False
