name,description,life_max,life_min,male_weight_max,male_weight_min,female_weight_max,female_weight_min,hypoallergenic
Parson Russell Terrier,"The Parson Russell Terrier is a small and energetic breed of dog that was originally bred for hunting small game. They are intelligent, playful, and energetic, and make excellent companion dogs.",14,12,8,6,8,6,False
Pekingese,"The Pekingese is a small breed of dog that originated in China. It is a compact and lively breed, with a long, silky coat. Its head is large and round, with small, erect ears. Its legs are short and strong, and its tail is usually docked. The Pekingese is an intelligent and loyal breed, and it makes an excellent family pet. It is an active breed, and it needs regular exercise and mental stimulation. It is loyal and affectionate, and it enjoys being around its family.",14,12,7,4,7,4,False
Pembroke Welsh Corgi,"The Pembroke Welsh Corgi is a small breed that originated in Wales. They have a short, thick coat, and come in a variety of colors. They are an intelligent and active breed, and need plenty of exercise and mental stimulation. They are loyal and devoted to their owners, and make good family companions.",15,12,13,11,13,11,False
Perro de Presa Canario,"The Perro de Presa Canario is a large breed of dog from the Canary Islands. These dogs are large in size, with a short and thick coat of fur. They have a dignified and loyal demeanor, making them excellent guard and companion dogs. They are highly trainable and intelligent, with an instinct to protect their family and property. They are brave and alert, with an independent nature that makes them well suited for guard work.",12,10,50,40,45,35,False
Peruvian Inca Orchid,"The Peruvian Inca Orchid is a small and agile breed of dog that was originally bred in Peru for hunting small game. They are intelligent, energetic, and determined, and make excellent hunting dogs.",15,12,15,9,15,9,False
Petit Basset Griffon Vendéen,"The Petit Basset Griffon Vendéen is a small and energetic breed of dog that was originally bred in France for hunting small game. They are intelligent, playful, and affectionate, and make excellent companion dogs.",14,12,16,12,16,12,False
Pharaoh Hound,"The Pharaoh Hound is a medium-sized breed of dog that originated in Malta. It is an ancient breed that is believed to be one of the oldest domesticated breeds in the world. The Pharaoh Hound has a medium-sized body, with a muscular and well-defined chest. Its head is broad, with a long muzzle and large, erect ears. Its coat is short and smooth, and comes in shades of tan and red. The Pharaoh Hound is a loyal and affectionate breed, and it enjoys spending time with its family. It is an active breed, and it needs plenty of exercise and mental stimulation.",14,12,25,20,25,20,False
Plott,"The Plott is a medium-sized breed that originated in the United States. They are an active breed, and need plenty of exercise and mental stimulation. They have a short, thick coat, and come in a variety of colors. They are loyal and devoted to their owners, and make good family companions.",14,12,41,27,41,27,False
Pointer,"The Pointer is a medium-sized breed with a short, smooth coat and a muscular, athletic build. It is known for its keen sense of smell and its ability to point out game birds.",14,12,30,20,30,20,False
Polish Lowland Sheepdog,"The Polish Lowland Sheepdog is a medium-sized breed of dog that was originally bred in Poland for herding and guarding livestock. They are intelligent, loyal, and hardworking, and make excellent working dogs.",14,12,20,15,20,15,False
Pomeranian,"The Pomeranian is a small and playful breed of dog that was originally bred in Germany as a companion dog. They are intelligent, affectionate, and loyal, and make excellent family pets.",16,12,5,2,5,2,False
Poodle (Miniature),"The Miniature Poodle is a small and agile breed of dog that was originally bred in Germany for hunting waterfowl. They are intelligent, friendly, and eager to please, and make excellent companion dogs.",16,14,7,4,7,4,False
Poodle (Standard),"The Standard Poodle is a large and graceful dog breed from Germany. They are intelligent, active, and loyal, and make great family pets. Standard Poodles have a thick, curly coat that can be any color. They are easy to train and require plenty of exercise and mental stimulation to stay healthy and happy.",15,12,30,20,30,20,False
Poodle (Toy),"The Toy Poodle is a small and intelligent breed of dog that was originally bred in Germany for hunting waterfowl. They are playful, energetic, and affectionate, and make excellent companion dogs.",16,14,4,3,4,3,True
Porcelaine,"The Porcelaine is a small and agile breed of dog that was originally bred in France for hunting small game. They are intelligent, energetic, and determined, and make excellent hunting dogs.",15,12,10,8,10,8,False
Portuguese Podengo,"The Portuguese Podengo is a small and agile breed of dog that was originally bred in Portugal for hunting small game. They are intelligent, energetic, and independent, and make excellent companion dogs.",14,12,10,5,10,5,False
Portuguese Podengo Pequeno,"The Portuguese Podengo Pequeno is a small, agile breed that is known for its keen senses, speed, and versatility. This breed is native to Portugal, where it was originally used to hunt rabbits, rats, and other small game.",15,12,6,3,6,3,False
Portuguese Pointer,"The Portuguese Pointer is a medium-sized breed that originated in Portugal. They have a short, thick coat, and come in a variety of colors. They are an active and energetic breed, and make good family companions. They are loyal and devoted to their owners, and need plenty of exercise and mental stimulation.",14,12,30,25,30,25,False
Portuguese Sheepdog,The Portuguese Sheepdog is a medium-sized herding breed that originated in Portugal. It is an intelligent and loyal breed that is friendly with people and other animals. The Portuguese Sheepdog stands between 17-21 inches at the shoulder and has a medium-length coat that can come in various colors and patterns.,14,12,30,25,30,25,False
Portuguese Water Dog,"The Portuguese Water Dog is a medium-sized working dog from Portugal. They are active, intelligent, and loyal, and make great family pets. Portuguese Water Dogs have a thick, wavy coat that can be black, brown, or white in color. They are easy to train and require plenty of exercise and mental stimulation to stay healthy and happy.",15,12,30,25,27,22,False
Pudelpointer,"The Pudelpointer is a large and athletic breed of dog that was originally bred in Germany for hunting. They are intelligent, energetic, and determined, and make excellent hunting dogs.",15,12,30,25,25,20,False
Pug,"The Pug is a small, playful breed that is known for its comical expression, charming personality, and loyalty. This breed is native to China, where it was originally kept as a companion and lapdog by the imperial court.",15,12,8,6,8,6,False
Puli,"The Puli is a small and agile breed of dog that was originally bred in Hungary for herding and guarding livestock. They are intelligent, loyal, and hardworking, and make excellent working dogs.",15,12,14,10,14,10,False
Pumi,"The Pumi is a small and agile breed of dog that was originally bred in Hungary for herding and guarding livestock. They are intelligent, energetic, and hardworking, and make excellent working dogs.",15,12,16,12,16,12,False
Pyrenean Mastiff,"The Pyrenean Mastiff is a large and powerful breed of dog from the Pyrenees Mountains of Spain. They are strong, intelligent, and loyal, and make great family pets. Pyrenean Mastiffs have a thick, double coat that is usually white with black or brown markings. They are active and require plenty of exercise and mental stimulation to stay healthy and happy.",12,10,100,70,90,60,False
Pyrenean Shepherd,"The Pyrenean Shepherd is a small and agile breed of dog that was originally bred in the Pyrenees Mountains for herding and guarding livestock. They are intelligent, energetic, and hardworking, and make excellent working dogs.",15,12,15,10,15,10,False
Rafeiro do Alentejo,"The Rafeiro do Alentejo is a large and powerful breed of dog that was originally bred in Portugal for guarding and protecting property. They are intelligent, loyal, and protective, and make excellent guard dogs.",14,12,60,45,60,45,False
Rat Terrier,"The Rat Terrier is a small-sized breed of dog that was originally bred for hunting rats and other small rodents. They are energetic and playful, and make excellent companion dogs.",16,14,6,2,6,2,False
Redbone Coonhound,"The Redbone Coonhound is a large and athletic breed of dog that was originally bred in the United States for hunting raccoons. They are intelligent, energetic, and determined, and make excellent hunting dogs.",14,12,30,20,30,20,False
Rhodesian Ridgeback,"The Rhodesian Ridgeback is a large and athletic breed of dog that was originally bred in Zimbabwe for hunting large game. They are intelligent, independent, and loyal, and make excellent companion dogs.",14,12,41,34,41,34,False
Romanian Carpathian Shepherd,"The Romanian Carpathian Shepherd is a large, powerful dog breed that was originally bred for protecting livestock. They are known for their protective natures and strong work ethic.",14,12,65,45,60,40,False
Romanian Mioritic Shepherd Dog,"The Romanian Mioritic Shepherd Dog is a large, fluffy breed that is known for its intelligence, loyalty, and protective nature. This breed is native to the Carpathian Mountains in Romania, where it was originally used to guard flocks of sheep.",14,12,50,35,50,35,False
Rottweiler,"The Rottweiler is a large and powerful breed of dog that was originally bred in Germany for herding and guarding livestock. They are intelligent, loyal, and protective, and make excellent working dogs.",10,8,60,50,55,45,False
Russell Terrier,"The Russell Terrier is a small breed of terrier that originated in England. It is a lively and energetic breed, with a short, wire-haired coat. Its head is small and pointed, with small, erect ears. Its legs are short and powerful, and its tail is usually docked. The Russell Terrier is an intelligent and loyal breed, and it makes an excellent family pet. It is an active breed, and it needs plenty of exercise and mental stimulation. It is loyal and affectionate, and it enjoys spending time with its family.",14,12,7,5,7,5,False
Russian Toy,"The Russian Toy is a small yet sturdy breed with a compact body and a short, smooth coat. They have a lively, active temperament and are an ideal companion for families and for those looking for a small, loyal, and loving pet. The Russian Toy is an intelligent breed that is easy to train and loves to please its owners.",14,12,3,1,3,1,False
Russian Tsvetnaya Bolonka,"The Russian Tsvetnaya Bolonka is a small and playful breed of dog that was originally bred in Russia as a companion dog. They are intelligent, affectionate, and loyal, and make excellent family pets.",16,14,5,3,5,3,False
Saint Bernard,"The Saint Bernard is a large, powerful dog breed with a thick, long coat that is typically red and white or brown and white in color. They are known for their strength, stamina, and gentleness, and were originally bred to help monks at the Great St. Bernard Hospice in the Swiss Alps.",10,8,110,90,110,90,False
Saluki,"The Saluki is a graceful and elegant breed, originating in the Middle East. They are a sight hound, and have a long, sleek coat in a variety of colors. They are highly intelligent, and have an independent nature. They are a fast breed, and have a long stride, and can be used for racing and coursing. They are loyal and devoted to their family, and make good companions.",14,12,30,20,30,20,False
Samoyed,"The Samoyed is a large and fluffy breed of dog that was originally bred in Siberia for herding and guarding livestock. They are intelligent, friendly, and playful, and make excellent family pets.",14,12,30,20,30,20,False
Schapendoes,"The Schapendoes is a small and agile breed of dog that was originally bred in the Netherlands for herding and guarding livestock. They are intelligent, friendly, and energetic, and make excellent working dogs.",15,12,20,15,20,15,False
Schipperke,"The Schipperke is a small breed of dog from Belgium. These dogs are small in size, with a thick double coat of fur. They have a lively and energetic demeanor, with an instinct for hunting and tracking. They are highly intelligent and trainable, but require firm and consistent training to be obedient. They are loyal and devoted to their family, but can be stubborn and independent at times.",17,15,7,5,7,5,False
Scottish Deerhound,"The Scottish Deerhound is a large breed of sighthound that originated in Scotland. It is a powerful and athletic breed, with a long, wiry coat. Its head is large and round, with small, erect ears. Its legs are strong and muscular, and its tail is usually docked. The Scottish Deerhound is an intelligent and loyal breed, and it makes an excellent family pet. It is an active breed, and it needs plenty of exercise and mental stimulation. It is loyal and affectionate, and it enjoys spending time with its family.",10,8,50,35,50,35,False
Scottish Terrier,"The Scottish Terrier is a small, sturdy breed with a wiry coat and a distinctive beard. It is known for its independent and intelligent nature.",15,12,10,9,9,8,False
Sealyham Terrier,"The Sealyham Terrier is a small and energetic breed of dog that was originally bred in Wales for hunting small game. They are intelligent, playful, and affectionate, and make excellent companion dogs.",14,12,10,7,10,7,False
Segugio Italiano,"The Segugio Italiano is a medium-sized breed of dog that was originally bred in Italy for hunting small game. They are intelligent, athletic, and determined, and make excellent hunting dogs.",15,12,30,20,30,20,False
Shetland Sheepdog,"The Shetland Sheepdog is a small, agile breed with a long, thick coat. They have a long head and a medium-sized muzzle, with bright, alert eyes and a lively expression. Shetland Sheepdogs are known for their intelligence, eagerness to please, and devoted loyalty to their owners. They make excellent family pets and are also used in agility, obedience, and herding events.",15,12,14,9,14,9,False
Shiba Inu,"The Shiba Inu is a small and agile breed of dog that was originally bred in Japan for hunting small game. They are intelligent, independent, and alert, and make excellent companion dogs.",15,12,10,9,10,9,False
Shih Tzu,"The Shih Tzu is a small and playful breed of dog that was originally bred in China as a companion dog. They are intelligent, affectionate, and loyal, and make excellent family pets.",16,14,7,4,7,4,False
Shikoku,"The Shikoku is a medium-sized breed of dog that was originally bred in Japan for hunting small game. They are intelligent, alert, and energetic, and make excellent companion dogs.",15,12,22,18,22,18,False
Siberian Husky,"The Siberian Husky is a medium-sized working dog from Siberia. They are known for their thick, double coat, which can be black, white, grey, or red and white in color. Siberian Huskies are friendly, outgoing, and loyal, and make great family pets. They are active and require plenty of exercise and mental stimulation to stay healthy and happy.",14,12,27,20,23,16,False
Silky Terrier,"The Silky Terrier is a small, sturdy terrier breed known for its soft, silky coat. They have a lively and alert personality, and are very loyal and affectionate towards their family. Silky Terriers are active and require regular exercise and mental stimulation to remain healthy and happy. They are intelligent and eager to please, and make great family pets.",15,12,7,5,7,5,False
Skye Terrier,"The Skye Terrier is a small breed of terrier from the Isle of Skye in Scotland. These dogs are small in size, with a long and wiry coat of fur. They have a dignified and independent demeanor, with an instinct for hunting. They are highly intelligent and trainable, but require firm and consistent training to be obedient. They are loyal and devoted to their family, but can be stubborn and independent at times.",15,12,8,7,8,7,False
Sloughi,"The Sloughi is a large and athletic breed of dog that was originally bred in North Africa for hunting. They are intelligent, independent, and athletic, and make excellent companion dogs.",14,12,30,20,30,20,False
Slovakian Wirehaired Pointer,"The Slovakian Wirehaired Pointer is a medium-sized breed of dog that was originally bred in Slovakia for hunting small game. They are intelligent, energetic, and determined, and make excellent hunting dogs.",15,12,35,25,35,25,False
Slovensky Cuvac,"The Slovensky Cuvac is a large and powerful breed of dog that was originally bred in Slovakia for herding and guarding livestock. They are intelligent, loyal, and protective, and make excellent working dogs.",14,12,40,30,40,30,False
Slovensky Kopov,"The Slovensky Kopov is a medium-sized, athletic breed that is known for its keen senses, endurance, and versatility. This breed is native to Slovakia, where it was originally used for hunting and guarding.",14,12,30,20,30,20,False
Small Munsterlander,"The Small Munsterlander is a medium-sized breed with a dense, water-resistant coat. It is known for its intelligence and versatility as a hunting and working dog.",15,12,20,15,20,15,False
Smooth Fox Terrier,"The Smooth Fox Terrier is a small breed of terrier from England. These dogs are small in size, with a short and smooth coat of fur. They have a lively and energetic demeanor, with an instinct for hunting. They are highly intelligent and trainable, but require firm and consistent training to be obedient. They are loyal and devoted to their family, but can be stubborn and independent at times.",15,12,7,6,7,6,False
Soft Coated Wheaten Terrier,"The Soft Coated Wheaten Terrier is a medium-sized breed of dog that was originally bred in Ireland for herding and guarding livestock. They are intelligent, playful, and energetic, and make excellent companion dogs.",15,12,25,18,25,18,True
Spanish Mastiff,"The Spanish Mastiff is a large and powerful breed of dog that was originally bred in Spain for herding and guarding livestock. They are intelligent, loyal, and protective, and make excellent working dogs.",10,8,110,90,100,80,False
Spanish Water Dog,"The Spanish Water Dog is a medium-sized breed of dog that was originally bred in Spain for herding and guarding livestock. They are intelligent, energetic, and hardworking, and make excellent working dogs.",14,12,22,17,22,17,False
Spinone Italiano,"The Spinone Italiano is a large breed of gun dog that originated in Italy. It is a powerful and athletic breed, with a thick, wiry coat. Its head is large and round, with small, erect ears. Its legs are strong and muscular, and its tail is usually docked. The Spinone Italiano is an intelligent and loyal breed, and it makes an excellent family pet. It is an active breed, and it needs plenty of exercise and mental stimulation. It is loyal and affectionate, and it enjoys spending time with its family.",14,12,35,30,35,30,False
Stabyhoun,"The Stabyhoun is a small hunting breed that originated in the Netherlands. It is an intelligent and loyal breed that is friendly and eager to please. The Stabyhoun stands between 17-19 inches at the shoulder and has a medium-length coat that comes in black, white, and orange.",15,12,25,20,25,20,False
Staffordshire Bull Terrier,"The Staffordshire Bull Terrier is a small and powerful breed of dog that was originally bred in England for bull baiting. They are intelligent, loyal, and protective, and make excellent companion dogs.",14,12,17,11,17,11,False
Standard Schnauzer,"The Standard Schnauzer is a medium-sized German working dog. They are intelligent, active, and loyal, and make great family pets. Standard Schnauzers have a distinctive wiry coat that can be black, salt-and-pepper, or black-and-silver in color. They are easy to train and require plenty of exercise and mental stimulation to stay healthy and happy.",15,12,22,18,22,18,True
Sussex Spaniel,"The Sussex Spaniel is a medium-sized breed of spaniel from the Sussex region of England. These dogs are medium in size, with a long and wavy coat of fur. They have a gentle and affectionate demeanor, making them excellent companion dogs. They are highly trainable and intelligent, with an instinct to retrieve game. They are loyal and devoted to their family, with an independent nature that makes them well suited for retrieving and guard work.",15,12,27,18,27,18,False
Swedish Lapphund,"The Swedish Lapphund is a medium-sized breed of dog that was originally bred in Sweden for herding and guarding livestock. They are intelligent, friendly, and energetic, and make excellent working dogs.",14,12,20,16,20,16,False
Swedish Vallhund,"The Swedish Vallhund is a small and energetic breed of dog that was originally bred in Sweden for herding and guarding livestock. They are intelligent, friendly, and playful, and make excellent working dogs.",15,12,16,13,16,13,False
Taiwan Dog,"The Taiwan Dog is a small and agile breed of dog that was originally bred in Taiwan for hunting small game. They are intelligent, alert, and energetic, and make excellent companion dogs.",15,12,15,10,15,10,False
Teddy Roosevelt Terrier,"The Teddy Roosevelt Terrier is a small breed of terrier that originated in the United States. It is a compact and lively breed, with a short, wiry coat. Its head is large and round, with small, erect ears. Its legs are short and powerful, and its tail is usually docked. The Teddy Roosevelt Terrier is an intelligent and loyal breed, and it makes an excellent family pet. It is an active breed, and it needs regular exercise and mental stimulation. It is loyal and affectionate, and it enjoys being around its family.",15,12,11,7,11,7,False
Thai Ridgeback,The Thai Ridgeback is a medium-sized breed of dog that originated in Thailand. It is an active and intelligent breed that is loyal and devoted to its family. The Thai Ridgeback stands between 20-24 inches at the shoulder and has a short to medium-length coat that comes in various colors.,14,12,25,20,25,20,False
Tibetan Mastiff,"The Tibetan Mastiff is a powerful, muscular breed that is known for its courage, independence, and fierce loyalty. This breed is native to the Tibetan Plateau, where it was originally used to guard monasteries and protect flocks of sheep.",12,10,90,50,90,50,False
Tibetan Spaniel,"The Tibetan Spaniel is a small breed of spaniel from Tibet. These dogs are small in size, with a short and silky coat of fur. They have a cheerful and affectionate demeanor, making them excellent companion dogs. They are highly trainable and intelligent, with an instinct to protect their family and property. They are loyal and devoted to their family, but can be stubborn and independent at times.",16,14,7,5,7,5,False
Tibetan Terrier,"The Tibetan Terrier is a small and playful breed of dog that was originally bred in Tibet as a companion dog. They are intelligent, affectionate, and loyal, and make excellent family pets.",16,14,8,6,8,6,False
Tornjak,"The Tornjak is a large and powerful breed of dog that was originally bred in Croatia for herding livestock and guarding the home. They are intelligent, loyal, and protective, and make excellent guard dogs.",14,12,70,40,70,40,False
Tosa,"The Tosa is a large and powerful breed of dog that was originally bred for dog fighting in Japan. They are loyal and protective, and make excellent guard dogs.",12,8,80,50,80,50,False
Toy Fox Terrier,"The Toy Fox Terrier is a small and energetic breed of dog that was originally bred in the United States for hunting small game. They are intelligent, playful, and affectionate, and make excellent companion dogs.",16,14,3,1,3,1,False
Transylvanian Hound,"The Transylvanian Hound is a large and powerful breed of dog that was originally bred in Romania for hunting large game. They are intelligent, athletic, and determined, and make excellent hunting dogs.",14,12,30,20,30,20,False
Treeing Tennessee Brindle,"The Treeing Tennessee Brindle is a medium-sized breed of dog that was originally bred in the United States for hunting small game. They are intelligent, energetic, and determined, and make excellent hunting dogs.",14,12,30,15,30,15,False
Treeing Walker Coonhound,"The Treeing Walker Coonhound is a medium-sized hound breed that was developed by crossing the English and American Foxhounds. It is an active and energetic breed that is friendly, loyal, and intelligent. The Treeing Walker Coonhound stands between 22-27 inches at the shoulder and has a short to medium-length coat that comes in various colors and patterns.",14,12,30,20,30,20,False
Vizsla,"The Vizsla is a medium-sized breed of dog that was originally bred in Hungary for hunting small game. They are intelligent, energetic, and determined, and make excellent hunting dogs.",15,12,30,20,30,20,False
Volpino Italiano,"The Volpino Italiano is an Italian spitz-type breed that is closely related to the Pomeranian. They are a small and lively breed, with an alert and spirited personality. They are very loyal, loving, and affectionate, and make wonderful family pets. Volpinos are active and require plenty of exercise and walks, so they are well suited to active households. They have a thick, white double coat and can be prone to matting and tangling if not groomed properly.",15,12,6,4,6,4,False
Weimaraner,"The Weimaraner is a large, powerful breed with a short, thick coat. They have a long, elegant head with a deep muzzle and a strong jaw. Weimaraners are an intelligent, active breed with a friendly, loyal nature and are often used in agility, obedience, and hunting events.",14,12,30,25,30,25,False
Welsh Springer Spaniel,"The Welsh Springer Spaniel is a medium-sized breed of dog that originated in Wales. They have a short, dense coat, and come in a variety of colors. They are an active breed, and need plenty of exercise and mental stimulation. They are loyal and devoted to their owners, and make good family companions.",15,12,25,18,25,18,False
Welsh Terrier,"The Welsh Terrier is a small and energetic breed of dog that was originally bred in Wales for hunting small game. They are intelligent, playful, and affectionate, and make excellent companion dogs.",15,12,9,7,9,7,False
West Highland White Terrier,"The West Highland White Terrier is a small, energetic breed that is known for its intelligence, independence, and tenacity. This breed is native to the Scottish Highlands, where it was originally used to hunt small game and rodents.",15,12,7,5,7,5,False
Wetterhoun,"The Wetterhoun is a large, muscular dog breed with a thick, wavy coat that is typically black, brown, or fawn in color. They are known for their intelligence, loyalty, and strength, and were originally bred to hunt waterfowl in the Netherlands.",14,12,30,20,30,20,False
Whippet,"The Whippet is a medium-sized dog breed with a slender, athletic build and a short, smooth coat that is typically blue, red, or fawn in color. They are known for their speed, grace, and agility, and were originally bred to hunt small game, such as rabbits, by sight.",15,12,15,10,15,10,False
Wire Fox Terrier,"The Wire Fox Terrier is a small and energetic breed of dog that was originally bred in England for hunting small game. They are intelligent, playful, and affectionate, and make excellent companion dogs.",15,12,7,6,7,6,False
Wirehaired Pointing Griffon,"The Wirehaired Pointing Griffon is a medium-sized breed of dog that was originally bred in Belgium for hunting small game. They are intelligent, energetic, and determined, and make excellent hunting dogs.",14,12,27,18,27,18,False
Wirehaired Vizsla,"The Wirehaired Vizsla is a medium-sized breed of retrieving dog from Hungary. These dogs are medium in size, with a wiry coat of fur. They have a friendly and energetic demeanor, making them excellent working dogs. They are highly trainable and intelligent, with an instinct to retrieve game. They are loyal and devoted to their family, with an independent nature that makes them well suited for retrieving and guard work.",15,12,30,25,30,25,False
Working Kelpie,"The Working Kelpie is a medium-sized breed of herding dog that originated in Australia. It is an active and energetic breed, with a short, wiry coat. Its head is large and round, with small, erect ears. Its legs are strong and muscular, and its tail is usually docked. The Working Kelpie is an intelligent and loyal breed, and it makes an excellent family pet. It is an active breed, and it needs plenty of exercise and mental stimulation. It is loyal and affectionate, and it enjoys spending time with its family.",15,12,20,16,20,16,False
Xoloitzcuintli,"The Xoloitzcuintli, also known as the Mexican Hairless Dog, is a small and intelligent breed of dog that was originally bred in Mexico for hunting and guarding. They are loyal, alert, and affectionate, and make excellent companion dogs.",15,12,15,10,15,10,True
Yakutian Laika,"The Yakutian Laika is a medium-sized breed of dog that was originally bred in Siberia for hunting and guarding. They are intelligent, independent, and alert, and make excellent companion dogs.",15,12,30,18,30,18,False
Yorkshire Terrier,"The Yorkshire Terrier is a small, intelligent dog breed with a long, silky coat that is typically blue and tan in color. They are known for their feisty, independent nature and their affectionate personalities, and were originally bred to hunt rats and other vermin in the textile mills of Yorkshire, England.",15,12,3,2,3,2,False
